"site","date","count","treatment"
"O-1",2024-03-24,3,"rx_fire_sec_growth"
"O-1",2024-03-25,0,"rx_fire_sec_growth"
"O-1",2024-03-26,1,"rx_fire_sec_growth"
"O-1",2024-03-27,0,"rx_fire_sec_growth"
"O-1",2024-03-28,0,"rx_fire_sec_growth"
"O-1",2024-03-29,0,"rx_fire_sec_growth"
"O-1",2024-03-30,0,"rx_fire_sec_growth"
"O-1",2024-03-31,0,"rx_fire_sec_growth"
"O-1",2024-04-01,0,"rx_fire_sec_growth"
"O-1",2024-04-02,0,"rx_fire_sec_growth"
"O-1",2024-04-03,0,"rx_fire_sec_growth"
"O-1",2024-04-04,0,"rx_fire_sec_growth"
"O-1",2024-04-05,0,"rx_fire_sec_growth"
"O-1",2024-04-06,1,"rx_fire_sec_growth"
"O-1",2024-04-07,0,"rx_fire_sec_growth"
"O-1",2024-04-08,0,"rx_fire_sec_growth"
"O-1",2024-04-09,2,"rx_fire_sec_growth"
"O-1",2024-04-10,0,"rx_fire_sec_growth"
"O-1",2024-04-11,0,"rx_fire_sec_growth"
"O-1",2024-04-12,0,"rx_fire_sec_growth"
"O-1",2024-04-13,1,"rx_fire_sec_growth"
"O-1",2024-04-14,1,"rx_fire_sec_growth"
"O-1",2024-04-15,21,"rx_fire_sec_growth"
"O-1",2024-04-16,3,"rx_fire_sec_growth"
"O-1",2024-04-17,1,"rx_fire_sec_growth"
"O-1",2024-04-18,5,"rx_fire_sec_growth"
"O-1",2024-04-19,2,"rx_fire_sec_growth"
"O-1",2024-04-20,7,"rx_fire_sec_growth"
"O-1",2024-04-21,5,"rx_fire_sec_growth"
"O-1",2024-04-22,7,"rx_fire_sec_growth"
"O-1",2024-04-23,2,"rx_fire_sec_growth"
"O-1",2024-04-24,0,"rx_fire_sec_growth"
"O-1",2024-04-25,5,"rx_fire_sec_growth"
"O-1",2024-04-26,4,"rx_fire_sec_growth"
"O-1",2024-04-27,4,"rx_fire_sec_growth"
"O-1",2024-04-28,3,"rx_fire_sec_growth"
"O-1",2024-04-29,5,"rx_fire_sec_growth"
"O-1",2024-04-30,1,"rx_fire_sec_growth"
"O-1",2024-05-01,5,"rx_fire_sec_growth"
"O-1",2024-05-02,6,"rx_fire_sec_growth"
"O-1",2024-05-03,2,"rx_fire_sec_growth"
"O-1",2024-05-04,1,"rx_fire_sec_growth"
"O-1",2024-05-05,0,"rx_fire_sec_growth"
"O-1",2024-05-06,6,"rx_fire_sec_growth"
"O-1",2024-05-07,2,"rx_fire_sec_growth"
"O-1",2024-05-08,1,"rx_fire_sec_growth"
"O-1",2024-05-09,1,"rx_fire_sec_growth"
"O-1",2024-05-10,0,"rx_fire_sec_growth"
"O-1",2024-05-11,9,"rx_fire_sec_growth"
"O-1",2024-05-12,1,"rx_fire_sec_growth"
"O-1",2024-05-13,7,"rx_fire_sec_growth"
"O-1",2024-05-14,1,"rx_fire_sec_growth"
"O-1",2024-05-15,0,"rx_fire_sec_growth"
"O-1",2024-05-16,0,"rx_fire_sec_growth"
"O-1",2024-05-17,3,"rx_fire_sec_growth"
"O-1",2024-05-18,0,"rx_fire_sec_growth"
"O-1",2024-05-19,0,"rx_fire_sec_growth"
"O-1",2024-05-20,1,"rx_fire_sec_growth"
"O-1",2024-05-21,3,"rx_fire_sec_growth"
"O-1",2024-05-22,1,"rx_fire_sec_growth"
"O-1",2024-05-23,5,"rx_fire_sec_growth"
"O-1",2024-05-24,1,"rx_fire_sec_growth"
"O-1",2024-05-25,21,"rx_fire_sec_growth"
"O-1",2024-05-26,8,"rx_fire_sec_growth"
"O-1",2024-05-27,0,"rx_fire_sec_growth"
"O-1",2024-05-28,0,"rx_fire_sec_growth"
"O-1",2024-05-29,2,"rx_fire_sec_growth"
"O-1",2024-05-30,1,"rx_fire_sec_growth"
"O-1",2024-05-31,5,"rx_fire_sec_growth"
"O-1",2024-06-01,0,"rx_fire_sec_growth"
"O-1",2024-06-02,2,"rx_fire_sec_growth"
"O-1",2024-06-03,0,"rx_fire_sec_growth"
"O-1",2024-06-04,0,"rx_fire_sec_growth"
"O-1",2024-06-05,0,"rx_fire_sec_growth"
"O-1",2024-06-06,0,"rx_fire_sec_growth"
"O-1",2024-06-07,0,"rx_fire_sec_growth"
"O-1",2024-06-08,0,"rx_fire_sec_growth"
"O-1",2024-06-09,1,"rx_fire_sec_growth"
"O-1",2024-06-10,0,"rx_fire_sec_growth"
"O-1",2024-06-11,0,"rx_fire_sec_growth"
"O-1",2024-06-12,21,"rx_fire_sec_growth"
"O-1",2024-06-13,1,"rx_fire_sec_growth"
"O-1",2024-06-14,0,"rx_fire_sec_growth"
"O-1",2024-06-15,0,"rx_fire_sec_growth"
"O-1",2024-06-16,3,"rx_fire_sec_growth"
"O-1",2024-06-17,0,"rx_fire_sec_growth"
"O-1",2024-06-18,19,"rx_fire_sec_growth"
"O-1",2024-06-19,0,"rx_fire_sec_growth"
"O-1",2024-06-20,1,"rx_fire_sec_growth"
"O-1",2024-06-21,3,"rx_fire_sec_growth"
"O-1",2024-06-22,0,"rx_fire_sec_growth"
"O-1",2024-06-23,3,"rx_fire_sec_growth"
"O-1",2024-06-24,0,"rx_fire_sec_growth"
"O-1",2024-06-25,1,"rx_fire_sec_growth"
"O-1",2024-06-26,3,"rx_fire_sec_growth"
"O-1",2024-06-27,1,"rx_fire_sec_growth"
"O-1",2024-06-28,0,"rx_fire_sec_growth"
"O-2",2024-03-10,4,"rx_fire_sec_growth"
"O-2",2024-03-11,2,"rx_fire_sec_growth"
"O-2",2024-03-12,0,"rx_fire_sec_growth"
"O-2",2024-03-13,0,"rx_fire_sec_growth"
"O-2",2024-03-14,3,"rx_fire_sec_growth"
"O-2",2024-03-15,0,"rx_fire_sec_growth"
"O-2",2024-03-16,1,"rx_fire_sec_growth"
"O-2",2024-03-17,0,"rx_fire_sec_growth"
"O-2",2024-03-18,0,"rx_fire_sec_growth"
"O-2",2024-03-19,0,"rx_fire_sec_growth"
"O-2",2024-03-20,0,"rx_fire_sec_growth"
"O-2",2024-03-21,1,"rx_fire_sec_growth"
"O-2",2024-03-22,0,"rx_fire_sec_growth"
"O-2",2024-03-23,1,"rx_fire_sec_growth"
"O-2",2024-03-24,28,"rx_fire_sec_growth"
"O-2",2024-03-25,0,"rx_fire_sec_growth"
"O-2",2024-03-26,0,"rx_fire_sec_growth"
"O-2",2024-03-27,0,"rx_fire_sec_growth"
"O-2",2024-03-28,0,"rx_fire_sec_growth"
"O-2",2024-03-29,0,"rx_fire_sec_growth"
"O-2",2024-03-30,0,"rx_fire_sec_growth"
"O-2",2024-03-31,0,"rx_fire_sec_growth"
"O-2",2024-04-01,0,"rx_fire_sec_growth"
"O-2",2024-04-02,0,"rx_fire_sec_growth"
"O-2",2024-04-03,0,"rx_fire_sec_growth"
"O-2",2024-04-04,0,"rx_fire_sec_growth"
"O-2",2024-04-05,0,"rx_fire_sec_growth"
"O-2",2024-04-06,0,"rx_fire_sec_growth"
"O-2",2024-04-07,0,"rx_fire_sec_growth"
"O-2",2024-04-08,1,"rx_fire_sec_growth"
"O-2",2024-04-09,0,"rx_fire_sec_growth"
"O-2",2024-04-10,0,"rx_fire_sec_growth"
"O-2",2024-04-11,0,"rx_fire_sec_growth"
"O-2",2024-04-12,0,"rx_fire_sec_growth"
"O-2",2024-04-13,0,"rx_fire_sec_growth"
"O-2",2024-04-14,1,"rx_fire_sec_growth"
"O-2",2024-04-15,1,"rx_fire_sec_growth"
"O-2",2024-04-16,13,"rx_fire_sec_growth"
"O-2",2024-04-17,9,"rx_fire_sec_growth"
"O-2",2024-04-18,7,"rx_fire_sec_growth"
"O-2",2024-04-19,12,"rx_fire_sec_growth"
"O-2",2024-04-20,6,"rx_fire_sec_growth"
"O-2",2024-04-21,1,"rx_fire_sec_growth"
"O-2",2024-04-22,8,"rx_fire_sec_growth"
"O-2",2024-04-23,5,"rx_fire_sec_growth"
"O-2",2024-04-24,0,"rx_fire_sec_growth"
"O-2",2024-04-25,0,"rx_fire_sec_growth"
"O-2",2024-04-26,1,"rx_fire_sec_growth"
"O-2",2024-04-27,9,"rx_fire_sec_growth"
"O-2",2024-04-28,32,"rx_fire_sec_growth"
"O-2",2024-04-29,7,"rx_fire_sec_growth"
"O-2",2024-04-30,8,"rx_fire_sec_growth"
"O-2",2024-05-01,2,"rx_fire_sec_growth"
"O-2",2024-05-02,27,"rx_fire_sec_growth"
"O-2",2024-05-03,3,"rx_fire_sec_growth"
"O-2",2024-05-04,1,"rx_fire_sec_growth"
"O-2",2024-05-05,1,"rx_fire_sec_growth"
"O-2",2024-05-06,33,"rx_fire_sec_growth"
"O-2",2024-05-07,4,"rx_fire_sec_growth"
"O-2",2024-05-08,2,"rx_fire_sec_growth"
"O-2",2024-05-09,0,"rx_fire_sec_growth"
"O-2",2024-05-10,2,"rx_fire_sec_growth"
"O-2",2024-05-11,10,"rx_fire_sec_growth"
"O-2",2024-05-12,16,"rx_fire_sec_growth"
"O-2",2024-05-13,6,"rx_fire_sec_growth"
"O-2",2024-05-14,0,"rx_fire_sec_growth"
"O-2",2024-05-15,1,"rx_fire_sec_growth"
"O-2",2024-05-16,5,"rx_fire_sec_growth"
"O-2",2024-05-17,2,"rx_fire_sec_growth"
"O-2",2024-05-18,6,"rx_fire_sec_growth"
"O-2",2024-05-19,3,"rx_fire_sec_growth"
"O-2",2024-05-20,3,"rx_fire_sec_growth"
"O-2",2024-05-21,4,"rx_fire_sec_growth"
"O-2",2024-05-22,7,"rx_fire_sec_growth"
"O-2",2024-05-23,3,"rx_fire_sec_growth"
"O-2",2024-05-24,0,"rx_fire_sec_growth"
"O-2",2024-05-25,2,"rx_fire_sec_growth"
"O-2",2024-05-26,1,"rx_fire_sec_growth"
"O-2",2024-05-27,0,"rx_fire_sec_growth"
"O-2",2024-05-28,3,"rx_fire_sec_growth"
"O-2",2024-05-29,10,"rx_fire_sec_growth"
"O-2",2024-05-30,44,"rx_fire_sec_growth"
"O-2",2024-05-31,17,"rx_fire_sec_growth"
"O-2",2024-06-01,4,"rx_fire_sec_growth"
"O-2",2024-06-02,3,"rx_fire_sec_growth"
"O-2",2024-06-03,0,"rx_fire_sec_growth"
"O-2",2024-06-04,0,"rx_fire_sec_growth"
"O-2",2024-06-05,0,"rx_fire_sec_growth"
"O-2",2024-06-06,1,"rx_fire_sec_growth"
"O-2",2024-06-07,0,"rx_fire_sec_growth"
"O-2",2024-06-08,22,"rx_fire_sec_growth"
"O-2",2024-06-09,1,"rx_fire_sec_growth"
"O-2",2024-06-10,0,"rx_fire_sec_growth"
"O-2",2024-06-11,3,"rx_fire_sec_growth"
"O-2",2024-06-12,11,"rx_fire_sec_growth"
"O-2",2024-06-13,13,"rx_fire_sec_growth"
"O-2",2024-06-14,36,"rx_fire_sec_growth"
"O-2",2024-06-15,3,"rx_fire_sec_growth"
"O-2",2024-06-16,1,"rx_fire_sec_growth"
"O-2",2024-06-17,36,"rx_fire_sec_growth"
"O-2",2024-06-18,63,"rx_fire_sec_growth"
"O-2",2024-06-19,12,"rx_fire_sec_growth"
"O-2",2024-06-20,5,"rx_fire_sec_growth"
"O-2",2024-06-21,17,"rx_fire_sec_growth"
"O-2",2024-06-22,0,"rx_fire_sec_growth"
"O-2",2024-06-23,0,"rx_fire_sec_growth"
"O-2",2024-06-24,2,"rx_fire_sec_growth"
"O-2",2024-06-25,2,"rx_fire_sec_growth"
"O-2",2024-06-26,0,"rx_fire_sec_growth"
"O-2",2024-06-27,1,"rx_fire_sec_growth"
"O-2",2024-06-28,0,"rx_fire_sec_growth"
"O-3",2024-03-10,0,"rx_fire_sec_growth"
"O-3",2024-03-11,0,"rx_fire_sec_growth"
"O-3",2024-03-12,1,"rx_fire_sec_growth"
"O-3",2024-03-13,0,"rx_fire_sec_growth"
"O-3",2024-03-14,0,"rx_fire_sec_growth"
"O-3",2024-03-15,0,"rx_fire_sec_growth"
"O-3",2024-03-16,0,"rx_fire_sec_growth"
"O-3",2024-03-17,0,"rx_fire_sec_growth"
"O-3",2024-03-18,0,"rx_fire_sec_growth"
"O-3",2024-03-19,0,"rx_fire_sec_growth"
"O-3",2024-03-20,0,"rx_fire_sec_growth"
"O-3",2024-03-21,6,"rx_fire_sec_growth"
"O-3",2024-03-22,0,"rx_fire_sec_growth"
"O-3",2024-03-23,2,"rx_fire_sec_growth"
"O-3",2024-03-24,52,"rx_fire_sec_growth"
"O-3",2024-03-25,3,"rx_fire_sec_growth"
"O-3",2024-03-26,2,"rx_fire_sec_growth"
"O-3",2024-03-27,0,"rx_fire_sec_growth"
"O-3",2024-03-28,1,"rx_fire_sec_growth"
"O-3",2024-03-29,0,"rx_fire_sec_growth"
"O-3",2024-03-30,1,"rx_fire_sec_growth"
"O-3",2024-03-31,0,"rx_fire_sec_growth"
"O-3",2024-04-01,0,"rx_fire_sec_growth"
"O-3",2024-04-02,6,"rx_fire_sec_growth"
"O-3",2024-04-03,0,"rx_fire_sec_growth"
"O-3",2024-04-04,0,"rx_fire_sec_growth"
"O-3",2024-04-05,0,"rx_fire_sec_growth"
"O-3",2024-04-06,1,"rx_fire_sec_growth"
"O-3",2024-04-07,0,"rx_fire_sec_growth"
"O-3",2024-04-08,3,"rx_fire_sec_growth"
"O-3",2024-04-09,0,"rx_fire_sec_growth"
"O-3",2024-04-10,0,"rx_fire_sec_growth"
"O-3",2024-04-11,0,"rx_fire_sec_growth"
"O-3",2024-04-12,0,"rx_fire_sec_growth"
"O-3",2024-04-13,0,"rx_fire_sec_growth"
"O-3",2024-04-14,0,"rx_fire_sec_growth"
"O-3",2024-04-15,2,"rx_fire_sec_growth"
"O-3",2024-04-16,3,"rx_fire_sec_growth"
"O-3",2024-04-17,1,"rx_fire_sec_growth"
"O-3",2024-04-18,5,"rx_fire_sec_growth"
"O-3",2024-04-19,2,"rx_fire_sec_growth"
"O-3",2024-04-20,10,"rx_fire_sec_growth"
"O-3",2024-04-21,0,"rx_fire_sec_growth"
"O-3",2024-04-22,139,"rx_fire_sec_growth"
"O-3",2024-04-23,67,"rx_fire_sec_growth"
"O-3",2024-04-24,8,"rx_fire_sec_growth"
"O-3",2024-04-25,39,"rx_fire_sec_growth"
"O-3",2024-04-26,62,"rx_fire_sec_growth"
"O-3",2024-04-27,68,"rx_fire_sec_growth"
"O-3",2024-04-28,51,"rx_fire_sec_growth"
"O-3",2024-04-29,41,"rx_fire_sec_growth"
"O-3",2024-04-30,6,"rx_fire_sec_growth"
"O-3",2024-05-01,8,"rx_fire_sec_growth"
"O-3",2024-05-02,12,"rx_fire_sec_growth"
"O-3",2024-05-03,8,"rx_fire_sec_growth"
"O-3",2024-05-04,4,"rx_fire_sec_growth"
"O-3",2024-05-05,0,"rx_fire_sec_growth"
"O-3",2024-05-06,12,"rx_fire_sec_growth"
"O-3",2024-05-07,9,"rx_fire_sec_growth"
"O-3",2024-05-08,7,"rx_fire_sec_growth"
"O-3",2024-05-09,0,"rx_fire_sec_growth"
"O-3",2024-05-10,0,"rx_fire_sec_growth"
"O-3",2024-05-11,53,"rx_fire_sec_growth"
"O-3",2024-05-12,14,"rx_fire_sec_growth"
"O-3",2024-05-13,26,"rx_fire_sec_growth"
"O-3",2024-05-14,0,"rx_fire_sec_growth"
"O-3",2024-05-15,0,"rx_fire_sec_growth"
"O-3",2024-05-16,16,"rx_fire_sec_growth"
"O-3",2024-05-17,16,"rx_fire_sec_growth"
"O-3",2024-05-18,1,"rx_fire_sec_growth"
"O-3",2024-05-19,1,"rx_fire_sec_growth"
"O-3",2024-05-20,4,"rx_fire_sec_growth"
"O-3",2024-05-21,17,"rx_fire_sec_growth"
"O-3",2024-05-22,3,"rx_fire_sec_growth"
"O-3",2024-05-23,40,"rx_fire_sec_growth"
"O-3",2024-05-24,3,"rx_fire_sec_growth"
"O-3",2024-05-25,1,"rx_fire_sec_growth"
"O-3",2024-05-26,22,"rx_fire_sec_growth"
"O-3",2024-05-27,34,"rx_fire_sec_growth"
"O-3",2024-05-28,0,"rx_fire_sec_growth"
"O-3",2024-05-29,50,"rx_fire_sec_growth"
"O-3",2024-05-30,80,"rx_fire_sec_growth"
"O-3",2024-05-31,11,"rx_fire_sec_growth"
"O-3",2024-06-01,101,"rx_fire_sec_growth"
"O-3",2024-06-02,34,"rx_fire_sec_growth"
"O-3",2024-06-03,10,"rx_fire_sec_growth"
"O-3",2024-06-04,9,"rx_fire_sec_growth"
"O-3",2024-06-05,1,"rx_fire_sec_growth"
"O-3",2024-06-06,10,"rx_fire_sec_growth"
"O-3",2024-06-07,1,"rx_fire_sec_growth"
"O-3",2024-06-08,107,"rx_fire_sec_growth"
"O-3",2024-06-09,2,"rx_fire_sec_growth"
"O-3",2024-06-10,10,"rx_fire_sec_growth"
"O-3",2024-06-11,89,"rx_fire_sec_growth"
"O-3",2024-06-12,121,"rx_fire_sec_growth"
"O-3",2024-06-13,103,"rx_fire_sec_growth"
"O-3",2024-06-14,92,"rx_fire_sec_growth"
"O-3",2024-06-15,83,"rx_fire_sec_growth"
"O-3",2024-06-16,54,"rx_fire_sec_growth"
"O-3",2024-06-17,132,"rx_fire_sec_growth"
"O-3",2024-06-18,113,"rx_fire_sec_growth"
"O-3",2024-06-19,107,"rx_fire_sec_growth"
"O-3",2024-06-20,123,"rx_fire_sec_growth"
"O-3",2024-06-21,56,"rx_fire_sec_growth"
"O-3",2024-06-22,2,"rx_fire_sec_growth"
"O-3",2024-06-23,2,"rx_fire_sec_growth"
"O-3",2024-06-24,5,"rx_fire_sec_growth"
"O-3",2024-06-25,8,"rx_fire_sec_growth"
"O-3",2024-06-26,4,"rx_fire_sec_growth"
"O-3",2024-06-27,0,"rx_fire_sec_growth"
"O-3",2024-06-28,0,"rx_fire_sec_growth"
"O-4",2024-03-10,0,"rx_fire_sec_growth"
"O-4",2024-03-11,0,"rx_fire_sec_growth"
"O-4",2024-03-12,11,"rx_fire_sec_growth"
"O-4",2024-03-13,0,"rx_fire_sec_growth"
"O-4",2024-03-14,0,"rx_fire_sec_growth"
"O-4",2024-03-15,2,"rx_fire_sec_growth"
"O-4",2024-03-16,0,"rx_fire_sec_growth"
"O-4",2024-03-17,0,"rx_fire_sec_growth"
"O-4",2024-03-18,0,"rx_fire_sec_growth"
"O-4",2024-03-19,98,"rx_fire_sec_growth"
"O-4",2024-03-20,72,"rx_fire_sec_growth"
"O-4",2024-03-21,78,"rx_fire_sec_growth"
"O-4",2024-03-22,32,"rx_fire_sec_growth"
"O-4",2024-03-23,33,"rx_fire_sec_growth"
"O-4",2024-03-24,140,"rx_fire_sec_growth"
"O-4",2024-03-25,102,"rx_fire_sec_growth"
"O-4",2024-03-26,59,"rx_fire_sec_growth"
"O-4",2024-03-27,95,"rx_fire_sec_growth"
"O-4",2024-03-28,7,"rx_fire_sec_growth"
"O-4",2024-03-29,21,"rx_fire_sec_growth"
"O-4",2024-03-30,39,"rx_fire_sec_growth"
"O-4",2024-03-31,28,"rx_fire_sec_growth"
"O-4",2024-04-01,16,"rx_fire_sec_growth"
"O-4",2024-04-02,40,"rx_fire_sec_growth"
"O-4",2024-04-03,1,"rx_fire_sec_growth"
"O-4",2024-04-04,0,"rx_fire_sec_growth"
"O-4",2024-04-05,0,"rx_fire_sec_growth"
"O-4",2024-04-06,7,"rx_fire_sec_growth"
"O-4",2024-04-07,3,"rx_fire_sec_growth"
"O-4",2024-04-08,28,"rx_fire_sec_growth"
"O-4",2024-04-09,43,"rx_fire_sec_growth"
"O-4",2024-04-10,63,"rx_fire_sec_growth"
"O-4",2024-04-11,0,"rx_fire_sec_growth"
"O-4",2024-04-12,0,"rx_fire_sec_growth"
"O-4",2024-04-13,2,"rx_fire_sec_growth"
"O-4",2024-04-14,8,"rx_fire_sec_growth"
"O-4",2024-04-15,11,"rx_fire_sec_growth"
"O-4",2024-04-16,127,"rx_fire_sec_growth"
"O-4",2024-04-17,63,"rx_fire_sec_growth"
"O-4",2024-04-18,73,"rx_fire_sec_growth"
"O-4",2024-04-19,49,"rx_fire_sec_growth"
"O-4",2024-04-20,141,"rx_fire_sec_growth"
"O-4",2024-04-21,59,"rx_fire_sec_growth"
"O-4",2024-04-22,128,"rx_fire_sec_growth"
"O-4",2024-04-23,113,"rx_fire_sec_growth"
"O-4",2024-04-24,45,"rx_fire_sec_growth"
"O-4",2024-04-25,20,"rx_fire_sec_growth"
"O-4",2024-04-26,74,"rx_fire_sec_growth"
"O-4",2024-04-27,111,"rx_fire_sec_growth"
"O-4",2024-04-28,60,"rx_fire_sec_growth"
"O-4",2024-04-29,85,"rx_fire_sec_growth"
"O-4",2024-04-30,98,"rx_fire_sec_growth"
"O-4",2024-05-01,3,"rx_fire_sec_growth"
"O-4",2024-05-02,109,"rx_fire_sec_growth"
"O-4",2024-05-03,75,"rx_fire_sec_growth"
"O-4",2024-05-04,65,"rx_fire_sec_growth"
"O-4",2024-05-05,42,"rx_fire_sec_growth"
"O-4",2024-05-06,45,"rx_fire_sec_growth"
"O-4",2024-05-07,5,"rx_fire_sec_growth"
"O-4",2024-05-08,2,"rx_fire_sec_growth"
"O-4",2024-05-09,1,"rx_fire_sec_growth"
"O-4",2024-05-10,9,"rx_fire_sec_growth"
"O-4",2024-05-11,59,"rx_fire_sec_growth"
"O-4",2024-05-12,114,"rx_fire_sec_growth"
"O-4",2024-05-13,33,"rx_fire_sec_growth"
"O-4",2024-05-14,58,"rx_fire_sec_growth"
"O-4",2024-05-15,0,"rx_fire_sec_growth"
"O-4",2024-05-16,3,"rx_fire_sec_growth"
"O-4",2024-05-17,86,"rx_fire_sec_growth"
"O-4",2024-05-18,21,"rx_fire_sec_growth"
"O-4",2024-05-19,1,"rx_fire_sec_growth"
"O-4",2024-05-20,3,"rx_fire_sec_growth"
"O-4",2024-05-21,58,"rx_fire_sec_growth"
"O-4",2024-05-22,65,"rx_fire_sec_growth"
"O-4",2024-05-23,37,"rx_fire_sec_growth"
"O-4",2024-05-24,6,"rx_fire_sec_growth"
"O-4",2024-05-25,20,"rx_fire_sec_growth"
"O-4",2024-05-26,2,"rx_fire_sec_growth"
"O-4",2024-05-27,15,"rx_fire_sec_growth"
"O-4",2024-05-28,28,"rx_fire_sec_growth"
"O-4",2024-05-29,56,"rx_fire_sec_growth"
"O-4",2024-05-30,116,"rx_fire_sec_growth"
"O-4",2024-05-31,159,"rx_fire_sec_growth"
"O-4",2024-06-01,104,"rx_fire_sec_growth"
"O-4",2024-06-02,125,"rx_fire_sec_growth"
"O-4",2024-06-03,142,"rx_fire_sec_growth"
"O-4",2024-06-04,152,"rx_fire_sec_growth"
"O-4",2024-06-05,42,"rx_fire_sec_growth"
"O-4",2024-06-06,11,"rx_fire_sec_growth"
"O-4",2024-06-07,132,"rx_fire_sec_growth"
"O-4",2024-06-08,115,"rx_fire_sec_growth"
"O-4",2024-06-09,115,"rx_fire_sec_growth"
"O-4",2024-06-10,39,"rx_fire_sec_growth"
"O-4",2024-06-11,127,"rx_fire_sec_growth"
"O-4",2024-06-12,174,"rx_fire_sec_growth"
"O-4",2024-06-13,155,"rx_fire_sec_growth"
"O-4",2024-06-14,176,"rx_fire_sec_growth"
"O-4",2024-06-15,188,"rx_fire_sec_growth"
"O-4",2024-06-16,159,"rx_fire_sec_growth"
"O-4",2024-06-17,194,"rx_fire_sec_growth"
"O-4",2024-06-18,207,"rx_fire_sec_growth"
"O-4",2024-06-19,141,"rx_fire_sec_growth"
"O-4",2024-06-20,164,"rx_fire_sec_growth"
"O-4",2024-06-21,154,"rx_fire_sec_growth"
"O-4",2024-06-22,105,"rx_fire_sec_growth"
"O-4",2024-06-23,22,"rx_fire_sec_growth"
"O-4",2024-06-24,39,"rx_fire_sec_growth"
"O-4",2024-06-25,105,"rx_fire_sec_growth"
"O-4",2024-06-26,7,"rx_fire_sec_growth"
"O-4",2024-06-27,25,"rx_fire_sec_growth"
"O-4",2024-06-28,0,"rx_fire_sec_growth"
"O-5",2024-03-10,0,"rx_fire_sec_growth"
"O-5",2024-03-11,0,"rx_fire_sec_growth"
"O-5",2024-03-12,0,"rx_fire_sec_growth"
"O-5",2024-03-13,0,"rx_fire_sec_growth"
"O-5",2024-03-14,0,"rx_fire_sec_growth"
"O-5",2024-03-15,28,"rx_fire_sec_growth"
"O-5",2024-03-16,0,"rx_fire_sec_growth"
"O-5",2024-03-17,43,"rx_fire_sec_growth"
"O-5",2024-03-18,0,"rx_fire_sec_growth"
"O-5",2024-03-19,4,"rx_fire_sec_growth"
"O-5",2024-03-20,26,"rx_fire_sec_growth"
"O-5",2024-03-21,112,"rx_fire_sec_growth"
"O-5",2024-03-22,61,"rx_fire_sec_growth"
"O-5",2024-03-23,139,"rx_fire_sec_growth"
"O-5",2024-03-24,62,"rx_fire_sec_growth"
"O-5",2024-03-25,3,"rx_fire_sec_growth"
"O-5",2024-03-26,33,"rx_fire_sec_growth"
"O-5",2024-03-27,113,"rx_fire_sec_growth"
"O-5",2024-03-28,22,"rx_fire_sec_growth"
"O-5",2024-03-29,4,"rx_fire_sec_growth"
"O-5",2024-03-30,39,"rx_fire_sec_growth"
"O-5",2024-03-31,88,"rx_fire_sec_growth"
"O-5",2024-04-01,85,"rx_fire_sec_growth"
"O-5",2024-04-02,65,"rx_fire_sec_growth"
"O-5",2024-04-03,0,"rx_fire_sec_growth"
"O-5",2024-04-04,1,"rx_fire_sec_growth"
"O-5",2024-04-05,0,"rx_fire_sec_growth"
"O-5",2024-04-06,15,"rx_fire_sec_growth"
"O-5",2024-04-07,23,"rx_fire_sec_growth"
"O-5",2024-04-08,73,"rx_fire_sec_growth"
"O-5",2024-04-09,69,"rx_fire_sec_growth"
"O-5",2024-04-10,24,"rx_fire_sec_growth"
"O-5",2024-04-11,0,"rx_fire_sec_growth"
"O-5",2024-04-12,19,"rx_fire_sec_growth"
"O-5",2024-04-13,12,"rx_fire_sec_growth"
"O-5",2024-04-14,64,"rx_fire_sec_growth"
"O-5",2024-04-15,85,"rx_fire_sec_growth"
"O-5",2024-04-16,163,"rx_fire_sec_growth"
"O-5",2024-04-17,191,"rx_fire_sec_growth"
