site,site_treat,average_shrubs,average_grass,average_forb,average_bareground,average_veg_height,aru
M-1,mine,1.75,2.5,1.5,0.75,8.6875,SMA10463
M-10,mine,0.5,1.75,1.75,3,8.375,SMA10421
M-11,mine,0.75,2,1.5,2,6.03125,SMA10423
M-12,mine,0.75,2.25,1.75,2.5,8.59375,SMA10452
M-2,mine,0.75,1.5,0.75,0.75,6.34375,SMA10416
M-5,mine,2,1.75,1.25,0.75,9.8125,SMA10460
M-6,mine,0.75,2.25,1,2.75,7.9375,SMA10464
M-7,mine,1,2.25,1.25,0.75,9.46875,SMA10448
M-9,mine,0.25,1.25,1,3.5,4.78125,SMA10426
R-1,rx_fire_young,4,0.5,0.25,1.75,13.15625,SMA10467
R-13,rx_fire_young,2.5,0.75,0.75,0.75,9.75,SMA10449
R-2,rx_fire_young,4.25,0.25,0.25,0.5,13.4375,SMA10424
R-3,rx_fire_young,3,0.5,1,2.5,5.6875,SMA10458
R-6,rx_fire_young,1,4.5,0.5,1,11.90625,SMA10451
R-7,rx_fire_young,0.5,3,0.5,1,4.9375,SMA10465
R-9,rx_fire_young,2.5,1.25,0.5,2,6.59375,SMA10427
R-10,rx_fire_young,2.75,1.25,0.5,1.75,7.96875,SMA10466
R-11,rx_fire_young,2,2,0.5,2.25,7.84375,SMA10468
R-12,rx_fire_young,1.5,1,1,2.5,8.40625,SMA10470
T-1,timber,2,2.75,0,2,7.40625,SMA10428
T-14,timber,2.5,2.5,0.25,0.75,10.21875,SMA10469
T-16,timber,0.75,1.5,0.25,4.25,6.71875,SMA10414
T-19,timber,0.5,1,4,1.25,7.875,SMA10471
T-21,timber,3.25,1.75,0,0.5,12.5,SMA10422
T-4,timber,1.75,2.25,1.5,1.25,5.96875,SMA10429
T-6,timber,2.75,2.75,0.5,0,10.46875,SMA10395
T-9,timber,1,2.5,0.75,2.25,7.46875,SMA10415