vif_value,covariate,type,species
3.847863863,factor(treatment)rx_fire_sec_growth,abund,bacs
2.975204363,factor(treatment)rx_fire_young,abund,bacs
2.1795775,factor(treatment)timber,abund,bacs
2.969557758,scale(shrub_cover),abund,bacs
1.707539846,scale(grass_cover),abund,bacs
1.642496505,scale(forb_cover),abund,bacs
2.450627077,scale(shrub_height),abund,bacs
1.724665629,scale(grass_height),abund,bacs
1.104882807,I(scale(day)^2),det,bacs
1.031225214,scale(day),det,bacs
1.100737197,scale(wind_speed),det,bacs
1.028678708,scale(precipitation),det,bacs
1.7649804,factor(treatment)rx_fire_sec_growth,abund,blgr
2.198640231,factor(treatment)rx_fire_young,abund,blgr
1.757753278,factor(treatment)timber,abund,blgr
2.618252116,scale(shrub_cover),abund,blgr
1.948510455,scale(grass_cover),abund,blgr
1.416413206,scale(forb_cover),abund,blgr
1.647891915,scale(shrub_height),abund,blgr
1.652411289,scale(grass_height),abund,blgr
1.105223326,I(scale(day)^2),det,blgr
1.025988139,scale(day),det,blgr
1.112365004,scale(wind_speed),det,blgr
1.027450723,scale(precipitation),det,blgr
3.241802734,factor(treatment)rx_fire_sec_growth,abund,coni
3.404873992,factor(treatment)rx_fire_young,abund,coni
1.529886859,factor(treatment)timber,abund,coni
3.893638697,scale(shrub_cover),abund,coni
2.1200781,scale(grass_cover),abund,coni
1.951785049,scale(forb_cover),abund,coni
2.164792466,scale(shrub_height),abund,coni
2.446884148,scale(grass_height),abund,coni
1.091794127,I(scale(day)^2),det,coni
1.038919352,scale(day),det,coni
1.088864213,scale(wind_speed),det,coni
1.035005974,scale(precipitation),det,coni
3.976239166,factor(treatment)rx_fire_sec_growth,abund,cwwi
3.35643167,factor(treatment)rx_fire_young,abund,cwwi
1.859886475,factor(treatment)timber,abund,cwwi
3.437081889,scale(shrub_cover),abund,cwwi
2.051097042,scale(grass_cover),abund,cwwi
1.680070407,scale(forb_cover),abund,cwwi
2.167928527,scale(shrub_height),abund,cwwi
2.465730074,scale(grass_height),abund,cwwi
1.14169388,I(scale(day)^2),det,cwwi
1.152625479,scale(day),det,cwwi
1.062891016,scale(wind_speed),det,cwwi
1.073441424,scale(precipitation),det,cwwi
1.590348547,factor(treatment)rx_fire_sec_growth,abund,inbu
3.352878822,factor(treatment)rx_fire_young,abund,inbu
2.518891477,factor(treatment)timber,abund,inbu
2.521683293,scale(shrub_cover),abund,inbu
2.163982695,scale(grass_cover),abund,inbu
1.335274102,scale(forb_cover),abund,inbu
1.617517315,scale(shrub_height),abund,inbu
1.41359724,scale(grass_height),abund,inbu
1.063883047,I(scale(day)^2),det,inbu
1.013367113,scale(day),det,inbu
1.071516881,scale(wind_speed),det,inbu
1.015512774,scale(precipitation),det,inbu
1.11719278,factor(treatment)mine,abund,coye
2.762184003,factor(treatment)rx_fire_sec_growth,abund,coye
1.687083098,factor(treatment)timber,abund,coye
4.993340859,scale(shrub_cover),abund,coye
3.932311729,scale(grass_cover),abund,coye
2.591260363,scale(forb_cover),abund,coye
1.500294876,scale(shrub_height),abund,coye
1.616244689,scale(grass_height),abund,coye
1.085050971,I(scale(day)^2),det,coye
1.030359651,scale(day),det,coye
1.085065037,scale(wind_speed),det,coye
1.02588691,scale(precipitation),det,coye
3.49807641,factor(treatment)rx_fire_sec_growth,abund,nobo
1.993395258,factor(treatment)rx_fire_young,abund,nobo
1.407678091,factor(treatment)timber,abund,nobo
4.331735264,scale(shrub_cover),abund,nobo
1.966410074,scale(grass_cover),abund,nobo
1.688966535,scale(forb_cover),abund,nobo
2.326652264,scale(shrub_height),abund,nobo
1.832530473,scale(grass_height),abund,nobo
1.124639371,I(scale(day)^2),det,nobo
1.039548511,scale(day),det,nobo
1.12182016,scale(wind_speed),det,nobo
1.034919282,scale(precipitation),det,nobo
1.263511713,factor(treatment)mine,abund,praw
1.075119953,factor(treatment)rx_fire_sec_growth,abund,praw
2.258467702,factor(treatment)timber,abund,praw
5.28229475,scale(shrub_cover),abund,praw
2.251510615,scale(grass_cover),abund,praw
2.599690762,scale(forb_cover),abund,praw
2.311332892,scale(shrub_height),abund,praw
2.363922872,scale(grass_height),abund,praw
1.274045987,I(scale(day)^2),det,praw
1.281140454,scale(day),det,praw
1.072438047,scale(wind_speed),det,praw
1.015052854,scale(precipitation),det,praw
1.650973251,factor(treatment)rx_fire_sec_growth,abund,wevi
2.781160695,factor(treatment)rx_fire_young,abund,wevi
1.943090995,factor(treatment)timber,abund,wevi
3.090939953,scale(shrub_cover),abund,wevi
2.65783271,scale(grass_cover),abund,wevi
1.523562929,scale(forb_cover),abund,wevi
1.485028274,scale(shrub_height),abund,wevi
1.431850863,scale(grass_height),abund,wevi
1.07500474,I(scale(day)^2),det,wevi
1.045663119,scale(day),det,wevi
1.047725536,scale(wind_speed),det,wevi
1.020554164,scale(precipitation),det,wevi